,A_C,A_T,A_G,C_A,C_T,C_G,G_A,G_C,G_T,T_A,T_C,T_G,ALL
SRR14460626,1,2,1,1,11,0,1,0,5,0,4,0,26
SRR19207136,0,3,0,3,15,0,3,3,1,1,3,2,34
ERR6004178,0,3,0,3,13,0,4,4,2,1,3,2,35
SRR14475861,1,2,1,0,10,0,2,0,6,0,0,0,22
SRR14476166,1,2,1,0,10,0,2,0,6,0,0,0,22
SRR17438196,1,1,1,0,12,0,2,0,7,0,1,2,27
SRR19207132,0,3,0,3,15,0,3,3,1,1,3,2,34
SRR14460625,1,2,1,1,11,0,1,0,5,0,3,0,25
SRR19207133,0,3,0,3,15,0,3,3,1,1,3,2,34
SRR14460618,1,2,1,1,11,0,1,0,5,0,3,0,25
SRR14460624,1,2,1,1,13,0,1,0,5,0,2,0,26
SRR19207138,0,3,0,3,15,0,3,3,2,1,3,2,35
SRR14460621,2,2,2,2,13,0,2,0,5,0,3,0,31
SRR14476267,2,4,2,0,12,0,2,1,8,0,0,1,32
SRR19207135,0,3,0,3,15,0,3,3,2,1,3,2,35
SRR14460627,1,2,1,2,10,0,2,0,5,0,3,1,27
SRR19207134,0,3,0,3,16,0,3,3,1,1,3,2,35
SRR14460628,1,2,1,1,10,0,2,0,5,0,3,1,26
SRR14460622,1,2,1,1,11,0,1,0,5,0,3,1,26
