,ORF1ab,S,ORF3a,E,M,ORF6,ORF7a,ORF7b,ORF8,N,ORF10
SRR16569750,16,9,1,0,1,0,2,1,1,0,0
SRR16569738,23,11,2,0,1,0,2,1,1,0,0
SRR16569740,15,9,1,0,2,0,2,0,1,0,1
SRR16569845,17,9,0,1,0,0,0,0,3,0,0
SRR16569789,22,9,3,0,0,0,0,0,3,0,0
SRR16569755,16,6,0,0,0,1,1,0,4,0,0
SRR16569818,19,10,1,0,1,0,2,1,2,0,1
SRR16569820,14,10,2,0,1,0,3,1,1,0,0
SRR16569839,19,10,2,0,1,0,2,1,3,0,0
SRR16569774,20,8,1,0,1,0,3,1,1,0,0
SRR16569786,15,10,2,0,1,0,2,1,1,0,0
SRR16569857,20,8,1,0,1,0,2,1,2,0,0
SRR16569832,13,11,2,1,2,0,3,0,2,0,0
SRR16569760,18,8,1,0,1,0,2,1,0,0,0
SRR16569781,19,8,1,0,1,0,2,1,2,0,1
SRR16569833,17,12,2,0,1,0,2,1,0,0,0
SRR16569754,20,10,2,0,1,0,3,1,2,0,0
SRR16569823,16,9,1,0,1,0,2,1,2,0,0
SRR16569819,16,13,1,0,1,0,2,1,1,0,0
SRR16569798,12,10,2,0,1,0,2,0,0,0,0
SRR16569855,17,12,1,0,1,0,2,1,1,0,0
SRR16569800,12,11,2,0,2,0,3,0,1,0,0
SRR16569822,17,9,3,0,1,0,3,1,1,0,0
SRR16569742,22,8,1,0,1,0,3,1,1,0,0
SRR16569732,17,11,1,0,1,0,3,1,1,0,0
SRR16569764,16,10,1,0,1,0,2,1,1,0,0
SRR16569762,17,11,1,0,1,0,3,1,1,0,0
SRR16569838,20,10,3,0,1,0,3,1,0,0,0
SRR16569787,12,11,2,0,2,0,3,0,0,0,0
SRR16569785,13,10,2,0,2,0,3,0,0,0,0
SRR16569775,15,15,1,0,0,0,0,0,2,0,0
SRR16569817,14,12,2,0,1,0,2,0,1,0,0
SRR16569843,14,12,1,0,1,0,2,1,1,0,0
SRR16569844,18,10,1,0,1,0,2,1,0,0,0
SRR16569756,16,11,1,0,1,0,2,0,1,0,0
SRR16569745,12,12,3,0,2,0,3,0,1,0,0
SRR16569851,19,10,1,0,1,0,3,1,1,0,0
SRR16569808,22,12,2,0,1,0,2,1,0,0,0
SRR16569803,15,6,2,0,0,0,1,0,1,0,0
SRR16569753,17,8,2,0,1,0,3,1,1,0,0
SRR16569850,18,12,1,0,1,0,2,0,1,0,0
SRR16569731,17,11,2,0,1,0,3,1,1,0,0
SRR16569783,30,10,3,0,1,0,3,1,1,0,0
SRR16569828,20,12,1,0,1,0,2,1,1,0,1
SRR16569733,20,8,1,0,1,0,0,0,4,0,0
SRR16569776,11,13,2,0,2,0,3,0,1,0,0
SRR16569729,16,10,2,0,1,0,2,1,1,0,0
SRR16569852,24,12,1,0,1,0,2,0,0,0,0
SRR16569825,18,10,1,0,2,0,2,0,1,0,0
SRR16569821,21,11,1,0,1,0,0,0,4,0,0
SRR16569858,14,13,1,0,0,0,0,0,1,0,0
SRR16569801,19,10,2,0,2,0,5,0,2,0,0
SRR16569848,16,11,1,0,1,0,2,1,0,0,0
SRR16569792,18,8,1,0,1,0,3,1,1,0,0
SRR16569796,22,11,1,1,1,1,2,0,0,0,0
SRR16569763,12,12,1,0,2,1,2,0,1,0,0
SRR16569737,19,10,2,0,1,0,2,1,1,0,0
SRR16569746,14,11,3,0,2,0,4,0,1,0,0
SRR16569806,18,15,2,0,0,0,0,0,1,0,0
SRR16569805,14,7,2,0,0,0,1,0,1,0,0
SRR16569812,15,11,1,0,1,0,2,0,1,0,0
SRR16569846,10,6,2,0,0,0,2,2,1,0,0
SRR16569862,11,10,1,0,2,1,2,0,1,0,0
SRR16569765,18,10,1,0,1,1,2,1,1,0,0
SRR16569757,20,9,1,0,1,0,2,1,2,0,0
SRR16569784,17,8,2,0,0,0,1,0,4,0,0
SRR16569730,15,10,2,0,2,0,3,1,1,0,0
SRR16569826,16,10,2,0,1,0,2,1,1,0,0
SRR16569791,16,9,2,0,1,0,3,1,1,0,0
SRR16569810,21,7,0,0,0,0,1,0,4,0,0
SRR16569759,18,9,1,0,1,0,2,1,1,0,0
SRR16569744,20,8,0,0,0,0,0,0,4,0,0
SRR16569837,21,8,1,0,2,1,2,1,1,0,0
SRR16569788,11,10,2,0,2,0,3,0,1,0,0
SRR16569809,18,10,2,0,1,0,3,1,1,0,0
SRR16569797,30,13,2,0,1,1,0,0,5,0,0
SRR16569807,14,6,5,0,1,0,0,0,2,0,0
SRR16569773,15,10,2,0,2,0,3,1,1,0,0
SRR16569859,16,11,2,0,1,0,3,1,1,0,0
SRR16569743,39,19,1,1,3,0,0,2,4,0,0
SRR16569779,27,9,2,0,0,0,0,0,3,0,0
SRR16569780,18,8,1,0,1,0,3,1,1,0,0
SRR16569736,15,9,1,0,1,0,3,1,1,0,0
SRR16569827,19,11,2,0,1,0,3,1,0,0,0
SRR16569735,16,9,2,0,1,0,2,1,1,0,0
SRR16569836,14,11,1,0,1,0,2,0,2,0,0
SRR16569861,16,11,1,0,1,0,2,1,1,0,0
SRR16569799,13,10,2,0,1,0,2,0,1,0,0
SRR16569802,10,6,2,0,0,0,0,0,1,0,0
SRR16569778,20,11,1,0,1,1,3,1,1,0,0
SRR16569782,16,9,2,0,1,0,3,1,1,0,0
SRR16569824,20,9,1,0,1,0,2,1,1,0,0
SRR16569814,18,9,1,0,1,0,2,1,1,0,0
SRR16569847,19,8,0,0,0,0,0,0,4,0,0
SRR16569728,18,10,2,0,1,0,2,1,1,0,0
SRR16569795,24,13,0,0,0,0,0,1,4,0,0
SRR16569811,19,9,1,0,2,0,2,1,0,0,0
SRR16569835,17,9,1,0,1,1,2,1,0,0,0
SRR16569815,20,10,1,0,2,0,3,1,0,0,0
SRR16569849,18,8,1,0,1,0,2,1,0,0,0
SRR16569860,19,10,2,0,1,0,3,1,1,0,0
SRR16569766,16,6,3,0,0,0,1,0,2,0,0
SRR16569770,17,10,1,0,1,1,2,1,1,0,0
SRR16569758,23,8,1,0,1,0,2,1,1,0,0
SRR16569856,21,8,1,0,1,0,2,1,2,0,0
SRR16569790,19,8,2,0,0,0,1,0,3,0,0
SRR16569804,16,8,3,0,0,0,1,0,1,0,0
SRR16569834,17,6,5,0,0,0,0,0,2,0,0
SRR16569841,19,10,1,0,1,0,2,1,1,0,0
SRR16569813,17,13,1,0,1,0,2,1,0,0,0
SRR16569772,17,8,2,0,1,0,3,1,1,0,0
SRR16569761,23,10,2,0,2,0,1,1,3,0,0
SRR16569842,16,10,1,0,1,1,2,1,1,0,1
SRR16569854,15,11,2,0,1,0,3,1,0,0,0
SRR16569734,15,12,2,0,1,0,2,1,1,0,0
SRR16569830,19,8,1,0,1,0,2,1,1,0,0
SRR16569751,17,12,1,0,1,1,3,0,1,0,0
SRR16569752,16,14,1,0,0,0,0,0,1,0,0
SRR16569741,14,10,1,0,2,0,2,0,1,0,1
SRR16569748,27,7,2,1,2,0,0,0,4,0,0
SRR16569840,19,11,3,0,2,0,3,1,1,0,0
SRR16569771,24,9,1,0,1,0,2,1,1,0,0
SRR16569816,16,9,1,0,1,1,2,1,1,0,1
SRR16569863,22,9,1,0,1,0,2,1,1,0,0
SRR16569853,15,10,1,0,1,0,2,1,0,0,0
SRR16569793,16,8,0,0,0,0,0,0,4,0,0
SRR16569768,15,10,2,0,2,0,3,1,1,0,0
SRR16569739,20,12,1,0,1,0,2,0,2,0,0
SRR16569794,20,10,1,0,0,0,0,0,3,0,0
SRR16569777,18,9,2,0,1,0,3,1,1,0,0
SRR16569749,15,11,2,0,1,1,3,1,1,0,0
SRR16569747,40,14,4,0,1,0,1,0,3,0,0
