,ORF1ab,S,ORF3a,E,M,ORF6,ORF7a,ORF7b,ORF8,N,ORF10
SRR18729417,20,29,2,1,3,4,0,1,1,0,0
SRR18729361,23,35,2,1,3,4,0,1,1,0,1
SRR18729386,26,36,2,1,3,4,0,1,1,0,1
SRR18729379,19,31,2,1,3,4,0,1,1,0,0
SRR18729352,20,30,2,1,3,4,0,1,1,0,0
SRR18729394,19,30,2,1,3,4,0,1,1,0,0
SRR18729421,19,30,2,1,3,4,0,1,1,0,0
SRR18729425,20,30,2,1,3,4,0,1,1,0,0
SRR18729374,18,29,2,1,2,4,0,1,1,0,0
SRR18729369,17,28,2,1,3,4,1,1,1,0,0
SRR18729362,19,30,2,1,3,4,1,1,1,0,0
SRR18729368,21,30,2,1,2,4,0,1,1,0,0
SRR18729342,20,32,2,1,3,4,0,1,1,0,0
SRR18729398,18,28,2,1,3,4,0,1,1,0,0
SRR18729347,18,31,3,1,3,4,0,1,1,0,0
SRR18729420,25,30,2,1,3,4,1,1,1,0,0
SRR18729409,24,31,2,1,3,4,0,1,1,0,0
SRR18729431,19,30,2,1,3,4,0,1,1,0,0
SRR18729434,18,25,2,1,3,4,0,1,1,0,0
SRR18729418,19,29,2,1,3,4,0,1,1,0,0
SRR18729400,18,30,2,1,3,4,0,1,1,0,0
SRR18729411,22,30,2,1,3,3,0,1,1,0,0
SRR18729371,23,29,2,1,3,4,0,1,1,0,0
SRR18729393,19,32,2,1,3,4,0,1,1,0,0
SRR18729382,19,30,2,1,2,4,0,1,1,0,0
SRR18729415,18,29,2,1,3,4,0,1,1,0,0
SRR18729383,17,29,2,1,3,4,0,1,1,0,0
SRR18729340,20,29,2,1,3,4,0,1,1,0,0
SRR18729408,18,29,2,1,3,4,0,1,1,0,0
SRR18729364,24,29,2,1,4,4,0,1,1,0,0
SRR18729363,18,30,2,1,3,4,1,1,1,0,0
SRR18729353,23,30,2,1,3,4,0,1,1,0,0
SRR18729396,22,28,2,1,3,4,0,1,1,0,0
SRR18729357,25,31,2,1,2,4,0,1,1,0,0
SRR18729370,21,30,2,1,3,4,0,1,1,0,0
SRR18729397,18,30,2,1,3,4,0,1,1,0,0
SRR18729349,16,27,2,1,3,4,0,1,1,0,0
SRR18729366,19,26,2,1,3,4,0,1,1,0,0
SRR18729422,23,31,2,1,3,4,0,1,1,0,0
SRR18729412,22,28,3,1,3,4,0,1,1,0,0
SRR18729367,21,30,2,1,3,4,0,1,1,0,0
SRR18729399,16,27,2,1,3,4,0,1,1,0,0
SRR18729345,18,29,2,1,3,4,0,1,1,0,0
SRR18729351,18,29,2,1,3,4,0,1,1,0,0
SRR18729350,21,30,2,1,3,0,0,0,0,0,0
SRR18729423,21,29,2,1,2,4,2,1,1,0,0
SRR18729365,21,28,2,1,3,4,0,1,1,0,0
SRR18729426,22,28,2,1,3,4,0,1,1,0,0
SRR18729428,23,30,2,2,3,4,0,1,1,0,0
SRR18729430,19,29,2,1,3,4,0,1,1,0,0
SRR18729414,18,28,2,1,3,4,0,1,1,0,0
SRR18729380,117,39,4,1,2,4,1,1,3,0,0
SRR18729435,20,26,2,1,3,4,0,1,1,0,0
SRR18729413,21,28,2,1,3,4,0,1,1,0,0
SRR18729354,23,39,2,2,4,4,1,1,1,0,0
SRR18729402,21,29,3,1,3,4,0,1,1,0,0
SRR18729378,23,30,2,1,3,4,0,1,1,0,0
SRR18729410,23,30,2,1,3,4,0,1,1,0,0
SRR18729424,22,30,2,1,3,4,0,1,1,0,0
SRR18729355,18,29,3,1,3,4,1,1,1,0,0
SRR18729360,20,31,2,1,2,4,0,1,1,0,0
SRR18729395,19,30,3,1,3,4,1,1,1,0,0
SRR18729403,20,27,2,1,3,4,0,1,1,0,0
SRR18729406,19,29,2,1,3,4,0,1,1,0,0
SRR18729433,19,28,2,1,3,4,0,1,1,0,0
SRR18729407,18,29,2,1,3,4,0,1,1,0,0
SRR18729384,21,29,2,1,3,4,0,1,1,0,0
SRR18729373,19,30,2,1,2,4,0,1,1,0,0
SRR18729377,19,27,2,1,3,4,0,1,1,0,0
SRR18729405,25,30,2,1,3,4,0,1,1,0,0
SRR18729391,19,30,2,1,3,4,0,1,1,0,0
SRR18729343,22,30,2,1,3,4,0,1,1,0,0
SRR18729385,18,29,2,1,3,4,0,1,1,0,0
SRR18729344,19,30,2,1,3,4,0,1,1,0,0
SRR18729372,20,29,2,1,3,4,0,1,1,0,0
SRR18729401,19,28,2,1,3,4,0,1,1,0,0
SRR18729381,19,29,2,1,3,4,0,1,1,0,0
SRR18729388,21,29,2,1,3,4,0,1,1,0,0
SRR18729359,20,29,2,1,3,4,0,1,1,0,0
SRR18729419,21,30,2,1,3,4,0,1,1,0,0
SRR18729390,19,29,2,1,3,4,0,1,1,0,0
SRR18729358,20,30,2,1,2,4,1,1,1,0,0
SRR18729376,21,27,2,1,3,4,0,1,1,0,0
SRR18729387,24,29,2,1,3,4,0,1,1,0,0
SRR18729348,18,29,3,1,3,4,0,1,1,0,0
SRR18729427,19,28,2,1,3,4,0,1,1,0,0
SRR18729356,19,31,2,1,3,4,0,1,1,0,0
