,ORF1ab,S,ORF3a,E,M,ORF6,ORF7a,ORF7b,ORF8,N,ORF10
SRR13907362,15,10,1,0,0,0,0,0,3,0,0
SRR13907338,17,9,0,0,0,0,0,0,3,0,0
SRR13907342,16,9,0,0,0,0,0,0,4,0,0
SRR13907363,19,10,1,0,0,0,0,0,3,0,0
SRR13907357,19,10,1,0,0,0,0,0,4,0,0
SRR13907330,16,8,1,0,0,0,1,0,4,0,0
SRR13907355,18,10,0,0,0,0,0,0,3,0,0
SRR13907359,17,10,0,0,0,0,0,0,3,0,0
SRR13907326,16,10,0,0,0,0,0,0,5,0,0
SRR13907336,16,10,0,0,0,0,0,0,3,0,0
SRR13907334,15,9,0,0,0,0,0,0,3,0,0
SRR13907349,16,9,0,0,0,0,0,0,3,0,0
SRR13907353,17,12,1,0,0,0,0,0,3,0,0
SRR13907340,14,11,0,0,0,0,0,0,4,0,0
SRR13907347,16,9,0,0,0,0,0,0,4,0,0
SRR13907329,16,10,0,0,0,0,0,0,3,0,0
SRR13907339,16,10,0,0,0,0,0,0,3,0,0
SRR13907328,18,9,0,0,0,0,0,0,3,0,0
SRR13907327,15,9,0,0,0,0,0,0,3,0,0
SRR13907358,16,11,0,0,0,0,0,0,3,0,0
SRR13907344,18,10,0,0,0,0,0,0,3,0,0
SRR13907360,19,9,0,0,0,0,0,0,3,0,0
SRR13907333,20,10,0,0,0,0,0,0,3,0,0
SRR13907354,15,11,0,0,0,0,0,0,4,0,0
SRR13907331,23,5,1,3,0,0,0,0,3,0,0
SRR13907356,16,10,0,0,0,0,0,0,3,0,0
SRR13907341,17,10,0,0,0,0,0,0,3,0,0
SRR13907325,17,9,0,0,0,0,2,0,3,0,0
SRR13907351,16,10,1,0,0,0,3,1,3,0,0
SRR13907346,29,12,1,2,2,0,0,0,4,0,0
SRR13907343,22,9,0,2,2,0,0,0,4,0,0
SRR13907337,15,9,0,0,0,0,0,0,3,0,0
SRR13907335,27,9,1,3,3,0,0,0,3,0,0
SRR13907350,16,10,1,0,0,0,0,0,4,0,0
SRR13907361,17,9,0,0,0,0,0,0,3,0,0
SRR13907332,18,9,0,0,0,0,0,0,3,0,0
SRR13907345,24,9,0,1,2,0,0,0,4,0,0
SRR13907352,14,9,0,0,0,0,0,0,4,0,0
SRR13907348,14,10,1,0,0,0,0,0,4,0,0
