,A_C,A_T,A_G,C_A,C_T,C_G,G_A,G_C,G_T,T_A,T_C,T_G,ALL
SRR18729417,4,4,4,8,23,0,9,2,2,2,4,4,66
SRR18729361,6,4,6,11,22,0,9,2,5,2,4,7,78
SRR18729386,7,5,7,13,21,0,9,2,7,2,4,5,82
SRR18729379,4,4,4,6,20,0,9,3,2,2,4,5,63
SRR18729352,4,4,4,5,23,0,9,2,2,2,4,4,63
SRR18729394,4,5,4,5,23,0,10,2,1,2,4,4,64
SRR18729421,4,4,4,5,21,0,8,2,2,3,4,5,62
SRR18729425,4,4,4,4,22,0,9,2,2,1,4,4,60
SRR18729374,4,4,4,5,21,0,9,2,1,1,5,3,59
SRR18729369,4,4,4,4,22,0,9,2,2,3,4,4,62
SRR18729362,4,4,4,4,21,0,10,2,2,2,4,4,61
SRR18729368,4,4,4,4,22,0,10,2,3,1,4,4,62
SRR18729342,4,4,4,5,22,0,9,2,3,1,4,5,63
SRR18729398,4,4,4,7,21,0,8,2,1,2,4,5,62
SRR18729347,4,4,4,5,21,0,9,2,2,1,6,5,63
SRR18729420,4,4,4,5,21,0,10,2,5,1,6,4,66
SRR18729409,4,4,4,5,24,0,10,2,5,1,5,4,68
SRR18729431,4,4,4,6,26,0,9,2,1,2,4,5,67
SRR18729434,4,4,4,4,22,0,8,2,1,2,4,4,59
SRR18729418,4,4,4,5,23,0,9,2,1,2,6,4,64
SRR18729400,4,4,4,7,21,0,9,2,2,2,4,4,63
SRR18729411,3,4,3,4,22,0,9,2,5,1,4,4,61
SRR18729371,5,4,5,4,21,0,10,2,3,3,4,4,65
SRR18729393,4,4,4,7,23,0,9,3,2,2,4,5,67
SRR18729382,4,4,4,4,21,0,9,2,3,2,4,4,61
SRR18729415,4,4,4,6,22,0,8,2,1,1,4,5,61
SRR18729383,4,4,4,4,22,0,9,2,2,1,4,5,61
SRR18729340,4,4,4,5,23,0,8,2,1,1,4,5,61
SRR18729408,4,4,4,4,22,0,9,2,3,1,4,4,61
SRR18729364,4,5,4,4,22,0,10,2,3,1,4,4,63
SRR18729363,4,4,4,4,21,0,10,2,3,2,4,5,63
SRR18729353,5,4,5,5,23,0,9,2,2,1,6,5,67
SRR18729396,4,4,4,4,24,0,9,2,1,4,4,7,67
SRR18729357,4,4,4,5,22,0,12,2,4,0,4,4,65
SRR18729370,4,5,4,5,24,0,9,2,2,2,4,7,68
SRR18729397,4,4,4,6,20,0,9,2,2,3,4,4,62
SRR18729349,4,4,4,4,22,0,9,2,2,2,4,4,61
SRR18729366,4,4,4,4,22,0,10,2,1,1,4,5,61
SRR18729422,4,3,4,5,23,0,9,2,2,1,5,7,65
SRR18729412,4,4,4,4,22,0,8,2,1,4,4,8,65
SRR18729367,4,4,4,5,25,0,9,2,2,1,4,5,65
SRR18729399,4,4,4,6,22,0,9,2,1,2,4,4,62
SRR18729345,4,4,4,4,23,0,9,2,2,1,4,5,62
SRR18729351,4,4,4,4,23,0,8,2,3,2,4,4,62
SRR18729350,3,1,3,4,18,0,9,1,3,1,4,4,51
SRR18729423,4,4,4,4,20,0,10,3,2,1,5,4,61
SRR18729365,4,4,4,4,24,0,9,2,2,2,4,4,63
SRR18729426,4,4,4,7,21,0,9,2,1,2,4,8,66
SRR18729428,4,4,4,4,22,0,10,2,6,1,4,5,66
SRR18729430,4,4,4,6,23,0,8,2,1,2,4,5,63
SRR18729414,4,4,4,4,22,0,9,2,1,2,4,5,61
SRR18729380,5,4,5,7,22,0,12,2,109,1,4,4,175
SRR18729435,4,4,4,5,21,0,9,2,1,3,4,4,61
SRR18729413,4,4,4,5,23,0,9,2,1,2,4,5,63
SRR18729354,4,4,4,7,27,0,12,3,3,1,6,4,75
SRR18729402,4,4,4,8,20,0,8,2,2,3,5,7,67
SRR18729378,4,4,4,5,24,0,10,2,2,1,4,4,64
SRR18729410,4,4,4,4,23,0,10,2,5,1,4,4,65
SRR18729424,4,4,4,9,23,0,9,2,2,2,6,6,71
SRR18729355,4,4,4,4,21,0,8,2,3,2,4,5,61
SRR18729360,4,4,4,4,22,0,10,2,3,2,4,4,63
SRR18729395,4,4,4,5,24,0,9,2,2,1,4,6,65
SRR18729403,4,4,4,5,22,0,10,2,2,1,5,5,64
SRR18729406,4,4,4,4,22,0,10,2,2,1,4,5,62
SRR18729433,4,4,4,4,22,0,9,2,2,1,4,5,61
SRR18729407,4,4,4,7,22,0,8,2,3,2,4,5,65
SRR18729384,4,4,4,5,21,0,10,2,2,2,4,5,63
SRR18729373,4,4,4,4,22,0,9,2,3,2,4,4,62
SRR18729377,4,4,4,4,23,0,9,2,1,2,5,4,62
SRR18729405,4,4,4,4,23,0,9,2,5,2,5,4,66
SRR18729391,4,4,4,5,21,0,10,2,1,1,5,6,63
SRR18729343,4,5,4,4,24,0,9,2,3,2,4,4,65
SRR18729385,4,4,4,6,21,0,8,2,1,2,4,5,61
SRR18729344,4,4,4,5,21,0,10,2,1,2,4,5,62
SRR18729372,4,4,4,4,24,0,8,2,2,1,4,6,63
SRR18729401,4,4,4,4,20,0,9,2,2,2,4,5,60
SRR18729381,5,4,5,4,23,0,9,2,2,2,4,4,64
SRR18729388,4,4,4,5,23,0,9,2,1,2,4,6,64
SRR18729359,5,4,5,5,22,0,9,2,2,2,4,4,64
SRR18729419,4,4,4,5,22,0,11,2,1,2,4,6,65
SRR18729390,4,4,4,5,23,0,9,2,2,1,4,5,63
SRR18729358,4,4,4,4,21,0,10,2,3,1,4,4,61
SRR18729376,5,4,5,4,22,0,9,2,1,1,4,5,62
SRR18729387,4,4,4,9,23,0,9,2,1,3,4,8,71
SRR18729348,4,4,4,4,22,0,8,2,2,1,5,5,61
SRR18729427,4,4,4,7,20,0,9,2,1,2,4,7,64
SRR18729356,4,4,4,5,21,0,9,2,2,2,4,4,61
