,A_C,A_T,A_G,C_A,C_T,C_G,G_A,G_C,G_T,T_A,T_C,T_G,ALL
SRR16569750,0,0,0,2,13,0,3,0,8,1,2,1,30
SRR16569738,0,0,0,1,18,0,4,0,9,0,4,1,37
SRR16569740,1,1,1,3,11,0,4,0,5,0,3,1,30
SRR16569845,0,2,0,3,16,0,3,4,2,1,3,2,36
SRR16569789,0,4,0,2,22,0,3,0,2,2,3,0,38
SRR16569755,0,2,0,3,16,0,3,3,3,1,2,2,35
SRR16569818,0,0,0,2,17,0,4,0,9,0,3,2,37
SRR16569820,1,0,1,2,14,0,3,1,7,0,2,1,32
SRR16569839,0,0,0,2,14,0,3,0,11,1,2,2,35
SRR16569774,0,1,0,2,12,0,3,0,6,0,5,2,31
SRR16569786,0,0,0,2,15,0,3,0,8,0,2,1,31
SRR16569857,0,0,0,2,17,0,3,0,8,0,2,3,35
SRR16569832,0,0,0,2,16,0,3,0,7,0,4,2,34
SRR16569760,0,0,0,1,16,0,4,0,7,0,3,1,32
SRR16569781,0,0,0,2,16,0,3,0,9,0,3,2,35
SRR16569833,0,0,0,1,16,0,5,0,9,0,3,1,35
SRR16569754,0,2,0,1,16,0,3,1,6,3,4,2,38
SRR16569823,0,0,0,1,17,0,5,0,8,0,2,1,34
SRR16569819,0,0,0,2,14,0,6,0,7,0,5,1,35
SRR16569798,0,0,0,2,11,0,4,0,4,0,3,1,25
SRR16569855,0,0,0,2,14,0,5,0,7,0,5,1,34
SRR16569800,0,0,0,3,13,0,5,0,6,0,3,1,31
SRR16569822,2,0,2,3,12,0,3,1,8,0,3,1,35
SRR16569742,0,0,0,2,16,0,3,0,10,0,2,2,35
SRR16569732,0,0,0,2,15,0,4,0,8,0,5,2,36
SRR16569764,0,0,0,2,14,0,3,0,10,0,2,2,33
SRR16569762,1,1,1,2,13,0,4,0,6,0,5,2,35
SRR16569838,1,0,1,1,14,0,3,1,7,0,2,1,31
SRR16569787,0,0,0,2,13,0,5,0,7,0,3,1,31
SRR16569785,0,0,0,2,14,0,5,0,7,0,3,1,32
SRR16569775,2,2,2,1,13,0,5,2,6,2,3,1,39
SRR16569817,0,0,0,2,14,0,3,0,5,0,4,2,30
SRR16569843,0,0,0,2,14,0,4,0,7,0,3,1,31
SRR16569844,0,0,0,1,15,0,3,0,8,1,3,1,32
SRR16569756,1,0,1,3,11,0,4,0,5,1,3,1,30
SRR16569745,0,0,0,3,12,0,7,0,6,0,3,1,32
SRR16569851,0,1,0,2,17,0,3,0,9,0,2,1,35
SRR16569808,0,0,0,1,16,0,3,0,8,0,2,1,31
SRR16569803,1,0,1,0,13,0,3,0,3,0,1,2,24
SRR16569753,1,0,1,2,12,0,3,2,8,0,3,1,33
